id,civic_centre,death_licenses,place_of_death,year,month,season
28217,ET,340,Toronto,2017,2,Winter
28218,NY,92,Outside City Limits,2017,2,Winter
28219,NY,352,Toronto,2017,2,Winter
28220,SC,142,Outside City Limits,2017,2,Winter
28221,SC,524,Toronto,2017,2,Winter
28222,ET,133,Outside City Limits,2017,3,Spring
28223,ET,442,Toronto,2017,3,Spring
28224,NY,74,Outside City Limits,2017,3,Spring
28225,NY,430,Toronto,2017,3,Spring
28226,SC,95,Outside City Limits,2017,3,Spring
28227,SC,518,Toronto,2017,3,Spring
28228,ET,122,Outside City Limits,2017,4,Spring
28229,ET,370,Toronto,2017,4,Spring
28230,NY,25,Outside City Limits,2017,4,Spring
28231,NY,160,Toronto,2017,4,Spring
28232,SC,77,Outside City Limits,2017,4,Spring
28233,SC,358,Toronto,2017,4,Spring
28234,ET,135,Outside City Limits,2017,5,Spring
28235,ET,447,Toronto,2017,5,Spring
28236,NY,116,Outside City Limits,2017,5,Spring
28237,NY,426,Toronto,2017,5,Spring
28238,SC,89,Outside City Limits,2017,5,Spring
28239,SC,481,Toronto,2017,5,Spring
28240,ET,110,Outside City Limits,2017,6,Summer
28241,ET,384,Toronto,2017,6,Summer
28242,NY,115,Outside City Limits,2017,6,Summer
28243,NY,265,Toronto,2017,6,Summer
28244,SC,106,Outside City Limits,2017,6,Summer
28245,SC,373,Toronto,2017,6,Summer
28246,ET,133,Outside City Limits,2017,7,Summer
28247,ET,255,Toronto,2017,7,Summer
28248,NY,82,Outside City Limits,2017,7,Summer
28249,NY,268,Toronto,2017,7,Summer
28250,SC,92,Outside City Limits,2017,7,Summer
28251,SC,448,Toronto,2017,7,Summer
28252,ET,128,Outside City Limits,2017,8,Summer
28253,ET,348,Toronto,2017,8,Summer
28254,NY,82,Outside City Limits,2017,8,Summer
28255,NY,277,Toronto,2017,8,Summer
28256,SC,113,Outside City Limits,2017,8,Summer
28257,SC,602,Toronto,2017,8,Summer
28258,ET,140,Outside City Limits,2017,9,Fall
28259,ET,471,Toronto,2017,9,Fall
28260,NY,51,Outside City Limits,2017,9,Fall
28261,NY,239,Toronto,2017,9,Fall
28262,SC,87,Outside City Limits,2017,9,Fall
28263,SC,360,Toronto,2017,9,Fall
28264,ET,172,Outside City Limits,2017,10,Fall
28265,ET,521,Toronto,2017,10,Fall
28266,NY,94,Outside City Limits,2017,10,Fall
28267,NY,289,Toronto,2017,10,Fall
